cluster,SMAPE_mean,MAE_mean,RMSE_mean
4,181.57089835578748,4.2671817197146265e+128,4.267181719714627e+128
3,173.09836612472827,1.6324499034341634e+232,inf
5,171.81646493658744,2.1962492421299336e+156,inf
1,191.2963528419026,2.5281202739870724e+16,2.5334004534257084e+16
6,191.57198948387068,2.5133330384697532e+23,2.513333038469753e+23
2,188.71005799218716,3.8277540821784943e+31,3.8277540821784943e+31
0,156.17026554912223,5.16040060266225e+50,5.16040060266225e+50
overall,180.41043257033212,3.9134073027531314e+231,inf
