model,SMAPE_mean,MAE_mean,RMSE_mean
naive,79.86196742869893,5510.523611789002,5693.4200501670275
theta,96.26243134064234,8710.5193593431,9178.089994533668
ets,85.240826496034,6254.182817583317,6442.821936343256
