model,SMAPE_mean,MAE_mean,RMSE_mean
naive,75.69119412428338,5210.568106800073,5392.7256872668095
theta,94.60927201921962,8563.561087675807,9087.364543097448
ets,83.24714217934017,6060.085609921811,6239.545904806351
