cluster,SMAPE_mean,MAE_mean,RMSE_mean
4,2.934209150766538,271.1142111799718,307.89868384050465
3,2.7505091392992287,140.7066435631758,162.18639324342425
5,2.405259595000969,176.82412721044406,218.1729720049528
1,2.3559197665997544,162.51082535203525,190.87004964298427
6,1.9498959883698896,135.6999047549498,161.95842226830013
2,2.6183012478722425,165.64889234403617,189.23606023508853
0,3.4004621041992635,164.0558353086539,207.68092851425843
overall,2.587889997886935,171.20345407571057,201.0151807063316
