cluster,SMAPE_mean,MAE_mean,RMSE_mean
4,3.4006292112511396,149.59177824105228,174.54800690119444
3,4.690658840182457,127.93617990303537,146.6545293596568
5,2.7414321356194384,136.95486289000883,162.38129273324907
1,2.5811411514445046,128.88016843869852,152.44644425935613
6,3.192708082415255,129.44024380657245,149.31944016521814
2,3.6714363599640873,139.85552407197818,163.12110819433866
0,7.6962468036958445,197.49589921372052,249.74280412467604
overall,3.729115613759599,138.15104980764625,162.3556950460869
